11:50:42 start TP4-soak150-spec0 http://127.0.0.1:8890/v1 salt 20260903T115041Z phases ['warmup', 'sanity', 'soak', 'sanity_end']
11:50:42 phase warmup begin
11:51:50 warmup warm-think 17.829 ttft 2.18 err None
11:51:50 warmup warm-tools 4.898 ttft 0.906 err None
11:51:50 warmup warm-gen 31.902 ttft 0.214 err None
11:51:50 warmup warm-12k 9.396 ttft 9.222 err None
11:51:50 warmup warm-12k-again 1.451 ttft 1.113 err None
11:51:53 phase warmup end 67.6 s
11:51:53 phase sanity begin
11:51:56 sanity {'exact_json': True, 'normal_eos': True, 'tool_call': True, 'json_schema': True, 'json_schema_text': '{"host": "spark-f1cc", "healthy": true, "ranks": 4}', 'all_pass': True}
11:51:58 phase sanity end 3.5 s
11:51:58 phase soak begin
12:13:44 soak sample 1304.2 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.01958456973293765, 'prefix_queries': 1116290.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 145.0} {'r0': {'MemAvailable_GiB': 11.37, 'SwapFree_GiB': 11.9, 'clock_mhz': 2444, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.32, 'SwapFree_GiB': 12.54, 'clock_mhz': 2470, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.02, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.16, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
12:14:46 soak sample 1366.3 {'running': 8.0, 'waiting': 1.0, 'kv_usage': 0.014243323442136524, 'prefix_queries': 1116754.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 150.0} {'r0': {'MemAvailable_GiB': 11.36, 'SwapFree_GiB': 11.9, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.31, 'SwapFree_GiB': 12.54, 'clock_mhz': 2489, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 15.03, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.15, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
12:15:48 soak sample 1428.4 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.014243323442136524, 'prefix_queries': 1140888.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 154.0} {'r0': {'MemAvailable_GiB': 11.37, 'SwapFree_GiB': 11.9, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.29, 'SwapFree_GiB': 12.54, 'clock_mhz': 2483, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 15.01, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.15, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
12:16:50 soak sample 1490.6 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.015133531157270008, 'prefix_queries': 1141004.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 158.0} {'r0': {'MemAvailable_GiB': 11.36, 'SwapFree_GiB': 11.9, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.29, 'SwapFree_GiB': 12.54, 'clock_mhz': 2502, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 15.02, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.15, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
12:17:52 soak sample 1552.8 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.01928783382789323, 'prefix_queries': 1189106.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 161.0} {'r0': {'MemAvailable_GiB': 11.36, 'SwapFree_GiB': 11.9, 'clock_mhz': 2450, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.24, 'SwapFree_GiB': 12.54, 'clock_mhz': 2483, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.04, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.13, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
12:18:55 soak sample 1614.9 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.01543026706231454, 'prefix_queries': 1237656.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 170.0} {'r0': {'MemAvailable_GiB': 11.37, 'SwapFree_GiB': 11.9, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.34, 'SwapFree_GiB': 12.54, 'clock_mhz': 2483, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 15.03, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.13, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
12:19:57 soak sample 1677.1 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.016320474777448024, 'prefix_queries': 1237656.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 170.0} {'r0': {'MemAvailable_GiB': 11.35, 'SwapFree_GiB': 11.9, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 15.32, 'SwapFree_GiB': 12.54, 'clock_mhz': 2502, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.04, 'SwapFree_GiB': 13.18, 'clock_mhz': 2489, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.13, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
12:20:59 soak sample 1739.3 {'running': 6.0, 'waiting': 2.0, 'kv_usage': 0.0189910979228487, 'prefix_queries': 1333794.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 173.0} {'r0': {'MemAvailable_GiB': 11.36, 'SwapFree_GiB': 11.9, 'clock_mhz': 2450, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.32, 'SwapFree_GiB': 12.54, 'clock_mhz': 2470, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 15.02, 'SwapFree_GiB': 13.18, 'clock_mhz': 2483, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.14, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 94}}
12:22:01 soak sample 1801.4 {'running': 6.0, 'waiting': 2.0, 'kv_usage': 0.016913946587537088, 'prefix_queries': 1430799.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 174.0} {'r0': {'MemAvailable_GiB': 11.37, 'SwapFree_GiB': 11.9, 'clock_mhz': 2450, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 15.32, 'SwapFree_GiB': 12.54, 'clock_mhz': 2476, 'gpu_util': 94}, 'r2': {'MemAvailable_GiB': 15.02, 'SwapFree_GiB': 13.18, 'clock_mhz': 2483, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.16, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
12:23:03 soak sample 1863.5 {'running': 6.0, 'waiting': 0.0, 'kv_usage': 0.014836795252225476, 'prefix_queries': 1527780.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 176.0} {'r0': {'MemAvailable_GiB': 11.3, 'SwapFree_GiB': 11.9, 'clock_mhz': 2457, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 14.84, 'SwapFree_GiB': 12.54, 'clock_mhz': 2489, 'gpu_util': 95}, 'r2': {'MemAvailable_GiB': 14.98, 'SwapFree_GiB': 13.18, 'clock_mhz': 2483, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.12, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
12:24:05 soak sample 1925.7 {'running': 8.0, 'waiting': 1.0, 'kv_usage': 0.032047477744807096, 'prefix_queries': 1527911.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 177.0} {'r0': {'MemAvailable_GiB': 11.3, 'SwapFree_GiB': 11.9, 'clock_mhz': 2450, 'gpu_util': 95}, 'r1': {'MemAvailable_GiB': 14.82, 'SwapFree_GiB': 12.54, 'clock_mhz': 2489, 'gpu_util': 94}, 'r2': {'MemAvailable_GiB': 14.97, 'SwapFree_GiB': 13.18, 'clock_mhz': 2476, 'gpu_util': 95}, 'r3': {'MemAvailable_GiB': 15.08, 'SwapFree_GiB': 13.06, 'clock_mhz': 2483, 'gpu_util': 95}}
12:25:08 soak sample 1987.8 {'running': 8.0, 'waiting': 0.0, 'kv_usage': 0.016023738872403603, 'prefix_queries': 1528499.0, 'prefix_hits': 10752.0, 'spec_accepted': None, 'spec_drafts': None, 'requests_total': 183.0} {'r0': {'MemAvailable_GiB': 11.3, 'SwapFree_GiB': 11.9, 'clock_mhz': 2457, 'gpu_util': 96}, 'r1': {'MemAvailable_GiB': 14.82, 'SwapFree_GiB': 12.54, 'clock_mhz': 2496, 'gpu_util': 96}, 'r2': {'MemAvailable_GiB': 14.96, 'SwapFree_GiB': 13.18, 'clock_mhz': 2502, 'gpu_util': 96}, 'r3': {'MemAvailable_GiB': 15.08, 'SwapFree_GiB': 13.06, 'clock_mhz': 2489, 'gpu_util': 96}}
